NUM,DESCRIPTION,HEIGHT,LEN,WIDTH,WEIGHT,PRICE
KAN-TCHR-7703-CA,SHIATSULOGIC PI Massage Chair,21.0,42.0,30.0,145.0,495.0
JUN-KGJR-035,KEEN Glass Jar - 37oz,12.0,5.0,5.0,3.0,7.0
JUN-KGJR-025,KEEN Glass Jar - 21oz,9.0,5.0,5.0,2.0,5.75
KAN-TCHRCVR-16-CPO,SHIATSULOGIC - Vibration Cover set (Cappuccino),12.0,44.0,25.0,27.0,120.0
00-DON-BS-5679,Styling Chair Base,0.0,0.0,0.0,15.5,28.0
DON-APCHR-6769,TRON All Purpose Chair,25.0,27.0,25.0,65.0,146.0
DON-BWSH-2002-BLK,TUCSON Backwash Shampoo Unit,29.0,50.0,28.0,107.0,254.0
DON-FCCHR-216-BLK,MOLY Facial Bed (Black),26.0,46.0,18.0,88.0,146.0
DON-SYCHR-1801 - Inactive,PRESTON Styling Chair,17.0,25.0,25.0,63.0,106.0
Fulfillment Test,Kid Spa,0.0,0.0,0.0,0.0,1000.0
KEL-SYSTL-101-ESP,Deluxe Styling Station (Espresso),0.0,0.0,0.0,400.0,773.0
KEL-SYSTL-5555-BLK,POSH Portable Styling Station (Black),21.0,35.0,21.0,115.0,377.0
KEL-SYSTL-5555-DRKCHY,POSH Portable Styling Station (Dark Cherry),21.0,35.0,21.0,115.0,377.0
KEL-SYSTL-810366-DRKCHY,SYMPHONY Styling Station (Dark Cherry),21.0,42.0,30.0,200.0,666.0
KEL-SYSTL-810366-ESP,SYMPHONY Styling Station (Espresso),21.0,42.0,30.0,200.0,666.0
KEL-SYSTL-7002-ESP,ELEGANCE Styling Station - Station (Espresso),0.0,0.0,0.0,200.0,622.0
KEL-SYSTL-7002-DRKCHY,ELEGANCE Styling Station - Station (Dark Cherry),0.0,0.0,0.0,200.0,622.0
KEL-SYSTL-1102-BLK,ECONOMIC Styling Station Combo (Black),0.0,0.0,0.0,115.0,266.0
KEL-SYSTL-1102-ESP,ECONOMIC Styling Station Combo (Espresso),0.0,0.0,0.0,115.0,266.0
KEL-SYCHR-1169-BLK,Saloon Styling Chair (Black),28.0,25.0,32.0,260.0,322.0
KEL-SYCHR-1169-WH,Saloon Styling Chair (White),28.0,25.0,32.0,260.0,322.0
KEL-BBCHR-2097-BLK,BARREL Barber Chair (Black),29.0,43.0,35.0,300.0,599.0
KEL-BBCHR-2095-BLK,PARLOR Barber Chair (Black),32.0,45.0,32.0,330.0,645.0
KEL-BBCHR-2095-BR,PARLOR Barber Chair (Brown),32.0,45.0,32.0,330.0,645.0
KEL-BBCHR-2095-GY,PARLOR Barber Chair (Grey),32.0,45.0,32.0,330.0,645.0
