NUM,DESCRIPTION,HEIGHT,LEN,WIDTH,WEIGHT,PRICE
HON-SYCHR-6876-BLK,PRESTON II Styling Chair,25.5,25.5,22.5,70.0,125.0
HON-SYCHR-6926-BLK,HUGO Styling Chair,25.5,25.5,23.0,56.0,156.0
HAI-TCSTL-10412-CFE,TOTO Technician Stool (Coffee),21.0,26.0,12.0,15.0,55.0
HON-SYCHR-6969-BLK,MILLA Styling Chair,25.5,25.5,22.5,60.0,156.0
00-ZHT-BWL-033-BLK,Glass Pedicure Spa Bowl - Black Nickel,12.5,24.5,23.5,48.0,250.0
HON-SYCHR-6971-BLK,ARON Styling Chair,25.5,25.5,23.0,65.5,156.0
HON-SYCHR-6977-BLK,METTE Styling Chair,25.5,25.5,23.0,70.0,156.0
AYC-SPA-FLORENCE,FLORENCE Pedicure Tub,0.0,0.0,0.0,0.0,0.0
RAN-MAT-3660 - Inactive,Salon Mat - Half Circle,12.5,40.0,12.5,20.0,75.0
00-YAN-GLS-214-B,IRVING - High Frequency Glass - Ball,0.5,6.0,1.0,1.0,6.85
KAM-NTBL-092-A-WH,Fiona Nail Table Top White,10.875,46.625,20.0,43.0,90.95
KAM-NTBL-092-B-WH,Fiona Nail Table Leg White,34.125,11.675,11.675,13.0,105.45
00-ZHT-BWL-033-GLD,Glass Pedicure Spa Bowl - Gold Reflective,12.5,24.5,23.5,48.0,250.0
00-ZHT-BWL-033-CYL,Glass Pedicure Spa Bowl - Crystal Reflective,12.5,24.5,23.5,48.0,250.0
HON-BWSH-289671-WH,ARON Backwash - Shampoo Bed,32.25,42.75,26.5,88.0,400.0
KAN-TCHR-5112,SHIATSULOGIC DX Massage Chair,21.0,30.0,42.0,145.0,499.0
LEB-SCB-2752-BLK,OVERBROOK Shampoo Cabinet,5.5,35.0,15.5,37.0,99.0
DON-HRAPP-500 - Void,CELINA Hair Steamer,37.0,24.0,20.0,29.5,154.0
DON-DYCHR-24331801-A,HAMILTON Hair Dryer Chair Top Seat,21.0,27.0,25.0,42.0,78.0
DON-DYCHR-24331801-B,HAMILTON Hair Dryer Chair Base,14.0,33.0,17.0,19.0,78.0
DON-BST-901,Kid Booster Seat,7.0,16.0,12.0,3.0,12.95
KAN-TCHRCVR-29-CPOBG,SHIATSULOGIC - ALESSI Vibration Cover Set (2-Tone),9.0,43.0,25.0,15.0,120.0
KAN-TCHRCVR-29-SDCPO,SHIATSULOGIC - ALESSI Vibration Cover Set (2-Tone),9.0,43.0,25.0,15.0,120.0
00-KAN-TCHRARM-51,SHIATSULOGIC - 51 Armrest with Tray,9.0,28.0,15.0,25.0,135.0
00-KAN-TCHRARM-61,SHIATSULOGIC - 61 Armrest with Tray,9.0,28.0,15.0,25.0,135.0
HAI-TCSTL-10612-CFE,UMI Technician Stool (Coffee),14.0,21.0,22.0,17.0,50.0
00-XIT-HTRP-8318,Hair Trap,6.7,6.7,3.5,1.0,5.95
SHL-TUB-012-BLK,VIGGO Pedicure Tub - Raw Base (Black),0.0,0.0,0.0,0.0,395.0
MED-MSTN-2,Massage Stone - Single L,1.0,3.0,2.0,0.5,2.65
MED-MSTN-3,Massage Stone - Single M,0.675,2.675,1.875,0.25,2.0
MED-MSTN-36,Polished Stone Set - 36 pcs,3.125,13.25,8.5,12.5,48.0
MED-MSTN-45,Polished Stone Set - 45 pcs,3.0,14.0,8.5,15.0,59.0
MED-MSTN-6,Massage Stone - Facial Stone Set (6 pcs),2.5,1.5,3.0,6.0,8.0
MED-MSTN-8,Massage Stone - Toes Stone Set (8 pcs),2.8,1.5,3.0,7.0,6.75
BAO-TUB-033-BLK,FLORENCE Pedicure Tub - Raw Base (Black) without Glass Bowl,260.0,550.0,200.0,800.0,400.0
MED-STAPP-6,DECKER Stone Heater,9.5,20.0,14.0,9.5,59.0
BAO-TUB-033-CSND,FLORENCE Pedicure Tub - Raw Base (Coastal Sand) without Glass Bowl,260.0,550.0,200.0,800.0,400.0
00-XIT-AVB-001,Shampoo Bowl - Vacuum Breaker,2.25,2.75,2.0,1.0,15.95
00-XIT-SPY-015,Pedicure Spa Plumbing - Sprayer Set,2.5,8.5,4.0,1.0,15.0
AYC-MISC,Miscellaneous Item - Custom Material,0.0,0.0,0.0,0.0,0.0
AYC-CLEARANCE,AYC Clearance Items,0.0,0.0,0.0,0.0,0.0
AYC-SHIPPING - Void,Shipping Services,0.0,0.0,0.0,0.0,0.0
JAT-NTBL-600-D,VERONA Triple Manicure Table - Marble,6.5,39.0,20.0,158.0,275.0
HAI-PDSTL-10312-BLK,DAYTON Pedicure Stool (Black),18.5,18.5,10.5,19.0,35.0
00-YAN-HT-360,WATKINS 360 - Heating Element,0.5,12.0,2.0,3.0,92.0
00-YAN-HT-120,WATKINS 120 - Heating Element,0.5,8.0,1.75,2.0,55.0
00-YAN-HT-48,WATKINS 48 - Heating Element,0.5,7.5,1.75,1.0,45.0
00-KAN-RMT-5112,SHIATSULOGIC DX Massage Chair - Remote control,1.0,9.5,5.5,1.0,80.0
00-KAN-MBRD-5112,SHIATSULOGIC DX Massage Chair - Mainboard,2.0,8.25,4.0,1.0,85.0
00-KAN-MTR-03-A,SHIATSULOGIC PI Massage Chair - Rolling Motor,6.5,3.75,3.75,5.0,48.0
00-KAN-MTR-03-B,SHIATSULOGIC PI Massage Chair - Tapping Motor,2.5,5.0,2.5,2.0,48.0
00-KAN-MBRD-03,SHIATSULOGIC PI Massage Chair - Mainboard,2.0,8.0,4.5,2.0,85.0
00-KAN-RMT-03,SHIATSULOGIC PI Massage Chair - LCD Remote Controller,1.0,8.0,2.5,1.0,85.0
KAN-TCHRCVR-16-SDCPO,SHIATSULOGIC - Vibration Cover set (Sand - Cappuccino),12.0,44.0,25.0,27.0,120.0
HAI-PDSTL-10312-CA,DAYTON Pedicure Stool (Cashmere),18.5,18.5,10.5,19.0,35.0
00-HAI-PMP-103-A,Pump for stools - Pedicure Stool,3.5,14.0,3.5,2.25,10.0
00-HAI-PMP-103-B,Pump for stools - Technician Stool,3.5,14.0,3.5,2.25,10.0
GTP-SLPR-360,Disposable Slippers,14.0,22.0,14.5,18.0,35.0
KAN-TCHR-906D-BG,BEAUTYMALL Massage Chair,25.0,42.0,31.0,136.0,472.0
00-DON-BLB-209,KELLER Sterilizer - Bulb,1.0,10.0,1.0,1.0,18.0
00-DON-CTRL-209,KELLER Sterilizer - Start,1.0,1.0,1.0,1.0,3.0
00-HAI-CSTR-103,Casters,3.5,3.5,3.5,1.0,0.99
DIN-KTWL-13-WH,KEEN - Cozy Blends Microfiber Towels - White,18.0,27.5,19.5,40.0,180.0
DIN-KTWL-13-BG,KEEN - Cozy Blends Microfiber Towels - Burgundy,18.0,27.5,19.5,40.0,180.0
00-JAT-CVR-502,VERONA II Double and Triple Manicure Table - Gel Dryer Cover,0.625,21.5,4.75,1.0,10.0
DIN-KTWL-13-BLK,KEEN - Cozy Blends Microfiber Towels - Black,18.0,27.5,19.5,40.0,180.0
JAT-NPORK-6501,VERONA Polish Rack with LED Lights,38.0,44.0,4.0,35.0,170.0
DIN-KTWL-13-BLU,KEEN - Cozy Blends Microfiber Towels - Blue,18.0,27.5,19.5,40.0,180.0
DIN-KTWL-13-BR,KEEN - Cozy Blends Microfiber Towels - Brown,18.0,27.5,19.5,40.0,180.0
KAN-TCHR-906D-CA,BEAUTYMALL Massage Chair,25.0,42.0,31.0,136.0,472.0
00-KAN-TRAY-006,SHIATSULOGIC Massage Chair Tray Support & Hinge,2.5,10.5,3.5,2.0,11.95
JAT-NRTBL-833,AVON I Reception Table,40.0,51.0,22.0,300.0,700.0
00-BUL-BLB-621,Black Light Bulb for Nail Dryer Table,4.25,2.5,2.5,1.0,3.0
HAI-CUCHR-11804-CRM,VERSA Customer Chair (Cream),26.0,28.0,15.0,40.0,88.0
HUI-BWSH-260-A,ALTON Backwash Unit - Chair,28.0,48.0,30.0,107.0,495.0
HAI-CUCHR-11804-CFE,VERSA Customer Chair (Coffee),26.0,28.0,15.0,40.0,88.0
HAI-TCSTL-10412-CRM,TOTO Technician Stool (Cream),21.0,26.0,12.0,15.0,55.0
KAM-NTBL-092-B-BLK,Fiona Nail Table Leg Black,34.125,11.675,11.675,13.0,105.45
HUI-SYCHR-260,ALTON Styling Chair,24.0,26.0,26.0,95.5,249.0
KAN-TCHRCVR-16-BLK,SHIATSULOGIC - Vibration Cover set (Black),12.0,44.0,25.0,27.0,120.0
KAN-TCHRCVR-16-BG,SHIATSULOGIC - Vibration Cover set (Burgundy),12.0,44.0,25.0,27.0,120.0
SNS-KSPA-111515-YLW-B,Kid Pedicure Tub- Yellow,17.0,51.0,24.0,60.0,900.0
HAI-TCSTL-637-CFE,ALICE Technician Stool (Coffee),11.0,21.0,21.0,18.0,48.0
00-YAN-DRNAS-005-T4,Pedicure Spa Plumbing - Drain Assembly (Custom for T4),7.0,16.25,11.5,46.0,28.0
SNS-KSPA-111515-YLW-A,Kid Pedicure Chair- Yellow,10.0,21.0,20.0,63.0,200.0
CAN-TWAPP-08,DERMALOGIC Towel Warmer,13.0,16.5,13.0,12.0,79.0
CAN-TWAPP-15,DERMALOGIC Towel Warmer,17.0,20.0,14.0,16.0,100.0
